# targets 
36
97
85
87
46
46
77
83
59
29
100
55
34
26
72
50
30
90
93
30
32
75
61
86
92
77
53
97
57
27
# prob. matrix 
   0,8516   0,8041   0,7854   0,6052   0,6339   0,8063   0,8969   0,7214   0,8066   0,8185   0,6246   0,8510   0,7325   0,7747   0,8793   0,8347   0,7674   0,8084   0,6645   0,6325   0,6014   0,8449   0,8885   0,6021   0,8096   0,6571   0,8112   0,6921   0,7271   0,6094
   0,8758   0,7978   0,7671   0,6880   0,7836   0,8930   0,8894   0,7480   0,8164   0,7242   0,6015   0,7980   0,7859   0,6402   0,7325   0,6977   0,7069   0,6204   0,6607   0,8491   0,7337   0,8689   0,7068   0,6376   0,8836   0,7550   0,7104   0,8025   0,6872   0,6997
   0,8069   0,6109   0,8529   0,8393   0,6021   0,6516   0,7213   0,8390   0,6020   0,7774   0,6015   0,7762   0,7103   0,8870   0,6360   0,6740   0,8328   0,8674   0,6280   0,8333   0,6507   0,6999   0,8881   0,6888   0,6230   0,8805   0,6122   0,6027   0,8656   0,8071
   0,7962   0,6036   0,6276   0,6515   0,6140   0,6881   0,6349   0,7558   0,6505   0,8123   0,6170   0,7762   0,6696   0,6309   0,8510   0,7381   0,6303   0,6697   0,7691   0,8677   0,7250   0,7655   0,7658   0,6257   0,6089   0,7557   0,7184   0,7890   0,8264   0,7665
   0,7971   0,7048   0,8003   0,7152   0,6840   0,6803   0,6554   0,6269   0,7532   0,8698   0,8769   0,8531   0,6756   0,7771   0,8799   0,8812   0,6132   0,8085   0,6627   0,7323   0,7499   0,8887   0,7598   0,7613   0,8719   0,7847   0,7806   0,7037   0,8660   0,6815
   0,6246   0,8493   0,7358   0,6028   0,8092   0,6671   0,7616   0,7883   0,8161   0,6668   0,6299   0,7094   0,6775   0,6409   0,6504   0,6365   0,7617   0,6124   0,8527   0,7667   0,6020   0,8907   0,6106   0,6672   0,7201   0,6377   0,8869   0,7034   0,6460   0,6432
   0,8157   0,7892   0,7172   0,7249   0,6544   0,6262   0,7543   0,7872   0,6282   0,7874   0,8628   0,8047   0,8746   0,8492   0,6940   0,7368   0,6560   0,6814   0,7163   0,8279   0,6609   0,6739   0,6048   0,7088   0,8429   0,6031   0,8408   0,8802   0,7683   0,6266
   0,8379   0,6402   0,6429   0,7404   0,7661   0,7024   0,8747   0,6365   0,7386   0,8471   0,8004   0,7633   0,8481   0,7571   0,6591   0,8109   0,6014   0,6006   0,6342   0,6315   0,8951   0,7521   0,7103   0,7407   0,6017   0,7719   0,6988   0,8503   0,8007   0,6130
   0,8777   0,8434   0,7842   0,8717   0,6711   0,6205   0,7003   0,8653   0,6497   0,6262   0,8611   0,6861   0,6855   0,8041   0,6442   0,6675   0,8192   0,8258   0,7508   0,8839   0,6146   0,6968   0,7521   0,8064   0,6738   0,8584   0,7598   0,6479   0,8699   0,7819
   0,7931   0,7450   0,6190   0,7868   0,6889   0,6555   0,8698   0,6069   0,6059   0,7861   0,7209   0,8872   0,8163   0,6097   0,6980   0,8037   0,7526   0,6903   0,7301   0,6726   0,8881   0,6969   0,7499   0,6490   0,7718   0,8617   0,6199   0,8057   0,8196   0,8235
